 1.75 0.466696 -0.207206
 1.76 0.464628 -0.206259
 1.77 0.462571 -0.205318
 1.78 0.460522 -0.204383
 1.79 0.458483 -0.203454
 1.8 0.456453 -0.202531
 1.81 0.454432 -0.201613
 1.82 0.452421 -0.200702
 1.83 0.450418 -0.199796
 1.84 0.448425 -0.198896
 1.85 0.44644 -0.198001
 1.86 0.444465 -0.197112
 1.87 0.442498 -0.196228
 1.88 0.44054 -0.19535
 1.89 0.438591 -0.194477
 1.9 0.436651 -0.19361
 1.91 0.434719 -0.192747
 1.92 0.432796 -0.19189
 1.93 0.430881 -0.191038
 1.94 0.428975 -0.190191
 1.95 0.427077 -0.189349
 1.96 0.425188 -0.188512
 1.97 0.423307 -0.187679
 1.98 0.421434 -0.186852
 1.99 0.41957 -0.186029
 2 0.417714 -0.185212
